formula_pretty,material_id,prek,preg
HfO2,mp-352,205.9120299,90.8869672
HfSiO4,mp-4609,194.3239427,88.99240354
ZrSiO4,mp-4820,191.4944733,89.32433647
ZrO2,mp-2858,184.6521624,87.05155193
MgTa2O6,mp-9650,179.397257,90.77952572
Hf2N2O,mp-775784,172.9910389,83.92274504
Y2Hf2O7,mp-561442,169.910886,90.72431004
YbTiO3,mp-754225,168.3942567,89.88789007
LuTaO4,mp-5489,167.2764288,72.8729126
DyTa7O19,mp-15492,167.1356234,71.65387166
Ba2Ta15O32,mp-28457,166.5453753,71.99530791
Hf3N2O3,mp-761033,165.713236,64.92720426
Ca2Hf7O16,mp-27221,165.6720824,85.10839732
Sm2Hf2O7,mp-35249,164.5121901,84.71527431
La2Hf2O7,mp-12533,164.1044189,86.61340897
Dy2Hf2O7,mp-3611,163.9806778,86.97767523
Sr2Hf7O16,mp-757149,163.3242842,84.29488894
CaTiO3,mp-4019,163.3110765,90.04389413
MgTiO3,mp-3771,162.4393106,84.17527332
TbTaTiO6,mp-1217522,161.6028272,70.79653151
Ta2O5,mp-1539317,161.4602083,67.86977356
YbHfO3,mp-780387,161.0786919,88.30033715
Ho2Ti2O7,mp-768695,160.1164406,65.95975694
Tb2Ti2O7,mp-779763,159.7769581,65.80596551
Lu4Zr3O12,mp-1222825,159.6496355,71.91852181
Lu6WO12,mp-756479,159.636023,74.69491672
CaHfO3,mp-754853,159.3722287,87.53084015
Dy2Ti2O7,mp-752425,159.2990705,65.91853852
SrHfO3,mp-3378,159.0685382,87.63319543
MgTi2O5,mp-28232,158.8964906,66.88292122
Ca2Zr5Ti2O16,mp-667369,158.1043776,81.64142082
TiO2,mp-1439,156.7039058,57.48865876
TiO2,mp-554278,156.7039058,57.48865876
Sr2LuTaO6,mp-1205553,155.8891032,87.07876548
Er4Zr3O12,mp-1225650,155.25995,74.25501289
Ho4Zr3O12,mp-1224122,155.0461004,73.16767657
ErTaO4,mp-3444,154.8878638,70.73599672
Lu2TiO5,mp-771031,153.4769079,66.707567
Y3TaO7,mp-11321,153.4291838,72.23781165
HoTaO4,mp-5985,153.2053992,70.03399666
DyTaO4,mp-7703,152.5646681,69.20038313
CaZr4O9,mp-554190,152.4411315,78.23383747
Sr2Zr7O16,mp-770419,152.2585256,77.38628974
BaTa4O11,mp-769399,152.113344,71.71382227
La2Ti2O7,mp-12192,152.0652905,59.84599826
NdTaTiO6,mp-1220116,150.954202,60.64705947
LaScO3,mp-31116,150.7767903,74.17077409
Er2TiO5,mp-774567,150.4330215,64.86313125
TmMn2O5,mp-1207725,150.4134751,77.65859356
La2Zr2O7,mp-4974,150.1978022,82.32851933
TbTaO4,mp-12932,150.1869085,68.27572419
Ho3TaO7,mp-31416,149.6482585,76.33102663
Mg4Ta2O9,mp-17481,149.6199762,75.37237473
CeTi2O6,mp-1079004,149.3666549,55.90995685
Tm4Zr3O12,mp-1216821,148.9188576,75.99610629
Dy2YTaO7,mp-1225383,148.5541854,77.17350313
Ba4Ta10FeO30,mp-1228547,148.4851261,68.03871756
Ho2TiO5,mp-768605,148.302045,62.53902733
Dy3TaO7,mp-755652,147.7873643,75.27558317
SmTaO4,mp-12931,147.7085168,65.75974558
Tb3TaO7,mp-1101314,147.659863,73.30960276
Y4Zr3O12,mp-1216160,147.6315489,72.60327839
La3NdZr4O14,mp-1223092,147.5985511,77.26050184
Ba4Ta10CoO30,mp-1228585,147.40507,68.35809618
LuBO3,mp-7560,147.3976014,71.01147173
HoTaTiO6,mp-1224209,147.3343585,67.44401311
Lu2Si2O7,mp-7193,147.0736221,64.64941328
TmTaO4,mp-12933,146.8500653,56.66787655
ErTa3O9,mp-756598,146.3968957,67.75845525
Sm3TaO7,mp-752686,146.136483,69.25526024
Tm2Ti2O7,mp-771323,146.0316119,69.11414533
Dy2TiO5,mp-770816,145.4161122,60.71422263
CaLaMgTaO6,mp-684801,145.191352,66.0859983
Y2TiO5,mp-17559,145.0537999,59.02950166
Ba4MgTa10O30,mp-1228584,144.9964757,70.42206618
BaTa2O6,mp-561103,144.9526075,73.21728951
Sr5Ta4O15,mp-769582,144.4750244,58.23807682
Sr3MgTa2O9,mp-1103508,144.1149038,70.38500102
LaTaTiO6,mp-1222878,142.8810098,60.3723872
Er2Si2O7,mp-7064,142.8599353,54.27255747
Tb2TiO5,mp-752414,142.819744,60.12068206
Mg2TiO4,mp-757031,142.708537,71.52440849
Ba2ScTaO6,mp-1205823,142.426161,77.64158054
HoTa3O9,mp-768585,142.2512723,67.87213246
SrLaMgTaO6,mp-1218203,142.0366029,62.48692057
La4Ti9O24,mp-560383,141.489996,60.44285772
Lu2SiO5,mp-16969,141.4028706,61.67282071
NdTaO4,mp-3203,141.1987715,63.37753491
Ba3HfTa4O15,mp-1228378,140.4680557,69.7698972
Ba3Ta4TiO15,mp-1228225,140.3991664,66.373258
Tm6WO12,mp-756123,140.3181937,59.00789513
PrTaO4,mp-17722,140.137672,62.88017027
La2Ti2SiO9,mp-559747,140.0913542,58.31384307
Sc2TiO5,mp-753401,139.7889955,51.22039563
Ba3Ta4Ti4O21,mp-1228489,139.6274214,60.50554098
LaZrTa3O11,mp-1222999,139.5651284,61.29856124
TmTaTiO6,mp-1216870,139.4564484,68.19365927
LuSc(BO3)2,mp-1222283,139.0500688,67.30586708
La3TaO7,mp-31415,138.572713,65.64450753
Ca4Ti3O10,mp-15315,138.39532,70.32955901
Tm2TiO5,mp-752579,137.9789654,55.10917474
Sr2ScTaO6,mp-1208776,137.5393282,70.1655318
HoBO3,mp-752713,136.8093528,70.52954386
Y2HfO5,mp-755537,136.7606028,53.17009662
Ba5Ta4O15,mp-504554,136.6447121,64.73349117
Ta9PO25,mp-770481,135.3129329,61.6296855
Y2SiO5,mp-3520,134.952506,56.27877373
Sr2YTaO6,mp-12355,134.5524508,71.72905708
Ba4Ti13O30,mp-29298,134.4873015,55.66944398
LaTaO4,mp-4421,134.4746856,62.68201292
Er3TaO7,mp-756277,133.45558,60.90134458
Ca2Ti3O8,mp-1397126,132.2548519,55.02808654
BaSrTa2O7,mp-559151,130.7095689,62.36340851
Sr2Ta2O7,mp-12286,130.6997678,56.27016435
Ba3MgTa2O9,mp-6325,129.4533158,58.04818684
Sm2TiO5,mp-770806,129.0833017,56.55266998
Ho2Si2O7,mp-18662,127.4949768,54.07289474
ErBO3,mp-1194043,127.3968273,58.03632408
Ca2LaTaO6,mp-1227477,126.6850726,63.46485467
Ba2Ta2O7,mp-770239,126.2664147,61.40601908
Y2Si2O7,mp-581644,125.1150655,61.81883549
Sr2SmTaO6,mp-1208761,121.9336211,59.84303356
Nd2Ta2Cl2O7,mp-559243,121.8322677,67.33484929
BaLi2Ti6O14,mp-558083,118.6303722,52.50015719
TmTiClO3,mp-1207686,117.6317581,51.46403182
TbBO3,mp-1217607,116.7620043,57.68633678
DyTiClO3,mp-556108,116.0269026,51.05926526
