s,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
1,3,0.637099436,0.568436744,0.534458486,0.526924178,0.524377328,1.666666667,2.523809524,0,0,0.397727273,0.602272727,0,0,-0.009636785,0.023840147,0.023242152,0.059421406,0.077708848,3,16,13,11.52380952,5.682539683,16,1,88,87,58.28571429,38.19047619,88,6.941,32.065,25.124,23.53444219,11.06229479,32.065,317.3,453.69,136.39,399.9852381,35.8031746,388.36,1,16,15,10.85714286,6.571428571,16,2,3,1,2.666666667,0.444444444,3,105,128,23,112.952381,10.03174603,105,0.98,2.58,1.6,1.990952381,0.673968254,2.58,1,2,1,1.666666667,0.444444444,2,0,4,4,2.523809524,1.682539683,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,4.19047619,2.126984127,6,0,1,1,0.333333333,0.444444444,0,0,3,3,1.476190476,0.984126984,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.80952381,0.53968254,2,16.59333333,25.786875,9.193541667,22.26284155,3.779672147,25.786875,0,2.202,2.202,1.385571429,0.923714286,2.202,0,0,0,0,0,0,2,229,227,113.2857143,77.14285714,70
1,4,0.623213002,0.55153222,0.50584832,0.489448669,0.479362741,1.528301887,2.094339623,0,0,0.421875,0.578125,0,0,0,0,0.083984836,0.089800362,0.101271861,3,17,14,9.849056604,6.461374155,3,1,94,93,46.9245283,43.3250267,1,6.941,35.453,28.512,20.3234726,12.62497415,6.941,171.6,453.69,282.09,401.5435849,49.19473122,453.69,1,17,16,8.905660377,7.458170167,1,2,3,1,2.528301887,0.498398006,2,102,128,26,115.8301887,11.48095408,128,0.98,3.16,2.18,1.828679245,0.800640797,0.98,1,2,1,1.528301887,0.498398006,1,0,5,5,2.094339623,1.975792097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,3.622641509,2.474190103,1,0,1,1,0.471698113,0.498398006,1,0,3,3,1.075471698,1.023139907,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.547169811,0.578141687,1,16.59333333,25.786875,9.193541667,21.1345502,4.284166857,16.59333333,0,2.493,2.493,1.136245283,1.071929512,0,0,0,0,0,0,0,2,229,227,139.5283019,84.40726237,229
1,4,0.631189354,0.559523404,0.513560333,0.49717879,0.487240486,1.6,2.24,0.4,0,0.377358491,0.528301887,0.094339623,0,0.022386842,0.030104611,0.036918328,0.053658103,0.070787444,3,32,29,11.36,6.688,16,1,88,87,52.44,41.152,88,6.941,72.64,65.699,23.55110096,13.28808077,32.065,317.3,1211.4,894.1,441.7288,71.142656,388.36,1,16,15,9.84,7.072,16,2,4,2,2.64,0.512,3,105,128,23,114.96,10.8352,105,0.98,2.58,1.6,1.886,0.7248,2.58,1,2,1,1.6,0.48,2,0,4,4,2.24,1.8112,4,0,10,10,0.4,0.768,0,0,0,0,0,0,0,1,14,13,4.24,2.592,6,0,1,1,0.4,0.48,0,0,4,4,1.36,1.088,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.76,0.608,2,16.59333333,25.786875,9.193541667,21.74085238,4.118015238,25.786875,0,2.202,2.202,1.20228,1.0273664,2.202,0,0,0,0,0,0,2,229,227,134.36,82.9632,70
1,5,0.631068934,0.559513693,0.513560266,0.49717879,0.487240486,1.6,2.24,0.38,0,0.379146919,0.530805687,0.090047393,0,0.022379687,0.030078235,0.037857432,0.053783956,0.061420939,3,32,29,11.324,6.6592,16,1,88,87,52.438,41.1504,88,6.941,72.64,65.699,23.46199196,13.21679357,32.065,317.3,1687,1369.7,442.68,72.208,388.36,1,16,15,9.84,7.072,16,2,4,2,2.638,0.5104,3,105,128,23,114.942,10.830808,105,0.98,2.58,1.6,1.88578,0.724624,2.58,1,2,1,1.6,0.48,2,0,4,4,2.24,1.8112,4,0,10,10,0.38,0.73112,0,0,0,0,0,0,0,1,14,13,4.22,2.57688,6,0,1,1,0.4,0.48,0,0,4,4,1.36,1.088,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.76,0.608,2,16.59333333,25.786875,9.193541667,21.73572238,4.119094128,25.786875,0,2.202,2.202,1.20306,1.0264928,2.202,0,0,0,0,0,0,2,229,227,134.364,82.96768,70
1,5,0.524404424,0.44605607,0.409725405,0.402530159,0.400401084,1.35,1.05,0,0,0.5625,0.4375,0,0,0,0,0.449299239,0.44981256,0.450995239,1,16,15,5.6,5.1,1,1,92,91,66,32.5,92,1.00794,32.065,31.05706,11.1812141,10.33276915,1.00794,14.01,2348,2333.99,447.3635,383.29055,14.01,1,16,15,5.9,6.37,1,1,3,2,1.85,0.68,1,31,128,97,79.15,38.52,31,0.98,2.58,1.6,1.9545,0.48725,2.2,1,2,1,1.35,0.455,1,0,4,4,1.05,1.375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2.4,1.82,1,0,1,1,0.65,0.455,1,0,5,5,1.05,1.365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1.7,0.91,1,6.615,25.786875,19.171875,13.79747024,7.070970238,6.615,0,7.853,7.853,3.81525,3.2302,7.853,0,0,0,0,0,0,2,229,227,165.55,54.575,194
1,4,0.630753688,0.558875564,0.511801124,0.494373293,0.483188665,1.591715976,2.195266272,0,0,0.4203125,0.5796875,0,0,0.018185683,0.028434235,0.034370876,0.05312962,0.060906895,3,16,13,10.52071006,6.141171528,16,1,88,87,51.62130178,41.33573754,88,6.941,32.065,25.124,21.52431883,11.90827218,32.065,317.3,1687,1369.7,479.5663314,128.6024026,388.36,1,16,15,9.704142012,7.107524246,16,2,3,1,2.591715976,0.483176359,3,105,128,23,114.8402367,10.74584223,105,0.98,2.58,1.6,1.865147929,0.722783516,2.58,1,2,1,1.591715976,0.483176359,2,0,4,4,2.195266272,1.813381884,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.786982249,2.275760653,6,0,1,1,0.408284024,0.483176359,0,0,4,4,1.355029586,1.106473863,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.763313609,0.623297504,2,16.59333333,25.786875,9.193541667,21.53918709,4.15569933,25.786875,0,2.202,2.202,1.189301775,1.015485662,2.202,0,0,0,0,0,0,2,229,227,138.852071,83.00045517,70
1,5,0.678911172,0.652859863,0.648783216,0.648654393,0.648648711,1.918918919,3.27027027,0.810810811,0,0.31981982,0.545045045,0.135135135,0,-0.022938271,0.038405218,0.04473769,0.048542276,0.054174188,3,32,29,10.81081081,4.913075237,8,1,87,86,78.35135135,12.83272462,87,6.941,72.64,65.699,22.58250569,11.0767056,15.9994,54.8,1211.4,1156.6,247.2362162,249.6469832,54.8,1,16,15,14.37837838,2.305332359,16,2,4,2,2.351351351,0.512783053,2,66,128,62,83.54054054,22.75529584,66,0.98,3.44,2.46,2.872432432,0.736303871,3.44,1,2,1,1.918918919,0.149013879,2,0,4,4,3.27027027,0.946676406,4,0,10,10,0.810810811,1.490138787,0,0,0,0,0,0,0,1,14,13,6,1.297297297,6,0,1,1,0.081081081,0.149013879,0,0,5,5,2.243243243,0.679327977,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.324324324,0.635500365,2,9.105,23.005,13.9,13.22206564,5.341058124,9.105,0,1.625,1.625,0.294567568,0.445831994,0,0,0,0,0,0,0,2,229,227,51,66.48648649,12
1,4,0.589890342,0.51280778,0.464878212,0.446684714,0.433608706,1.593939394,2.115151515,0,0,0.429738562,0.570261438,0,0,-0.014379699,0.019726417,0.04024339,0.050586864,0.061747967,3,16,13,9.975757576,5.904646465,3,1,88,87,51.30909091,40.85707989,1,6.941,32.065,25.124,20.3709197,11.43660384,6.941,54.8,1687,1632.2,563.8889091,292.689557,453.69,1,16,15,9.648484848,7.023617998,1,2,3,1,2.533333333,0.497777778,2,66,128,62,112.7575758,12.37869605,128,0.98,3.44,2.46,1.893818182,0.742131129,0.98,1,2,1,1.593939394,0.482350781,1,0,4,4,2.115151515,1.747768595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.709090909,2.200110193,1,0,1,1,0.406060606,0.482350781,1,0,4,4,1.448484848,1.176345271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.854545455,0.69399449,1,9.105,25.786875,16.681875,20.34600316,4.410168603,16.59333333,0,2.202,2.202,0.98819697,0.978398806,0,0,0,0,0,0,0,12,229,217,151.5060606,82.60865014,229
1,4,0.631779418,0.560083508,0.514756438,0.499000836,0.489767012,1.604594921,2.264812576,0.326481258,0,0.382420749,0.539769452,0.077809798,0,0.014004674,0.02828494,0.043634587,0.055806166,0.062710492,3,50,47,11.8814994,7.023579933,16,1,88,87,52.89721886,41.04084781,88,6.941,118.71,111.769,24.86331515,14.17314886,32.065,317.3,505.08,187.78,411.7299758,39.27781998,388.36,1,16,15,9.915356711,7.050354642,16,2,5,3,2.669891173,0.529756744,3,105,139,34,115.3808948,11.5215556,105,0.98,2.58,1.6,1.892684401,0.721760095,2.58,1,2,1,1.604594921,0.478119805,2,0,4,4,2.264812576,1.808328057,4,0,10,10,0.326481258,0.631644513,0,0,0,0,0,0,0,1,14,13,4.195888755,2.527341288,6,0,1,1,0.395405079,0.478119805,0,0,4,4,1.362756953,1.07768204,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.758162031,0.599562235,2,16.59333333,33.285,16.69166667,22.11256636,4.364665539,25.786875,0,2.202,2.202,1.208494559,1.034599937,2.202,0,0,0,0,0,0,2,229,227,129.185006,79.70618588,70
1,4,0.631189354,0.559523404,0.513560333,0.49717879,0.487240486,1.6,2.24,0.4,0,0.377358491,0.528301887,0.094339623,0,0.008655053,0.027410803,0.036918328,0.052100693,0.059561971,3,50,47,12.08,7.264,16,1,88,87,52.48,41.184,88,6.941,118.71,111.769,25.39390096,14.76232077,32.065,317.3,505.08,187.78,413.476,39.49952,388.36,1,16,15,9.84,7.072,16,2,5,3,2.68,0.544,3,105,139,34,115.72,11.6864,105,0.98,2.58,1.6,1.884,0.7232,2.58,1,2,1,1.6,0.48,2,0,4,4,2.24,1.8112,4,0,10,10,0.4,0.768,0,0,0,0,0,0,0,1,14,13,4.24,2.592,6,0,1,1,0.4,0.48,0,0,4,4,1.36,1.088,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.76,0.608,2,16.59333333,33.285,16.69166667,22.15205238,4.446975238,25.786875,0,2.202,2.202,1.18696,1.0445248,2.202,0,0,0,0,0,0,2,229,227,131,79.2,70
